SCHL,WAGP,FOD1P,OCCP,AGEP
24,0,2400,,77
21,57000,2400,1530,68
19,0,,3940,56
18,18900,,5300,62
19,0,,,78
16,0,,,81
16,67000,,430,43
18,62000,,5700,48
14,0,,,17
5,,,,8
19,0,,,74
16,50000,,9600,46
15,40000,,9620,38
1,,,,3
12,0,,,15
7,,,,9
22,0,2300,9030,62
22,60000,2300,420,60
20,75000,,4850,57
20,55000,,50,48
18,22900,,4600,25
,,,,1
17,15000,,1965,22
19,10000,,5000,20
19,52000,,4700,44
21,0,6107,,54
21,0,5200,,39
21,110000,6207,1106,39
20,58000,,310,58
21,72000,2304,2310,47
21,14000,2300,2310,62
12,45000,,6200,74
22,12100,3601,1760,44
18,40900,,1006,36
19,0,,4120,32
22,80000,2102,430,49
18,0,,5420,22
18,0,,9130,20
18,1700,,4720,19
1,,,,3
21,85000,6402,430,51
16,0,,4610,26
16,15000,,4610,24
21,0,6402,,62
15,23000,,6260,53
14,0,,,30
14,0,,,73
16,6000,,9130,49
22,104000,2102,1010,50
22,116000,2102,430,50
21,0,1401,9120,24
21,140000,2407,1010,37
21,0,3301,2200,34
1,,,,3
19,32000,,7210,57
19,0,,,44
18,15000,,4720,65
16,2000,,5700,20
19,1000,,2710,21
19,0,,5400,20
19,400,,9130,19
21,48000,3608,1760,29
21,0,2102,1010,34
21,55000,5200,5000,24
20,49000,,6355,27
17,0,,,84
18,0,,,80
19,0,,,21
18,44600,,4220,47
18,31400,,5330,43
16,0,,9920,21
20,19800,,4850,20
9,,,,12
1,,,,6
16,50000,,4700,41
1,0,,,54
8,8000,,4220,25
1,,,,3
12,17300,,4230,23
12,4800,,4220,22
12,17300,,4220,21
22,26300,5404,2000,49
24,72000,4801,2310,48
21,85000,5506,2810,58
19,0,,9130,63
16,0,,,80
16,0,,,79
16,90000,,160,48
17,11700,,5400,55
13,0,,4020,81
21,0,6201,,73
16,0,,,80
19,10000,,9820,22
19,0,,5320,62
19,90000,,3930,65
16,8600,,5810,69
20,0,,,68
16,61000,,310,38
21,21100,6201,7700,59
10,23300,,4230,58
17,6000,,4020,28
21,72000,5506,1105,41
22,5200,2418,1540,38
3,,,,6
10,,,,12
23,13000,2102,3060,59
22,0,2601,,59
20,0,,,26
21,7300,3603,4760,24
9,0,,,39
12,0,,4700,39
4,,,,7
1,,,,4
19,120000,,10,59
16,65000,,5120,61
20,0,,4760,28
21,135000,6203,430,53
22,130000,2400,4965,61
21,4000,5403,4110,33
16,0,,,69
20,0,,,70
16,0,,,65
19,106000,,7000,55
21,1400,6299,2310,51
21,60000,1901,630,27
13,0,,,83
18,13000,,4110,47
17,5000,,4250,24
,,,,1
,,,,0
14,400,,4050,21
16,0,,,27
21,25000,6206,120,30
18,0,,4720,19
19,20000,,4030,46
16,52000,,8255,50
16,41000,,650,46
22,60000,4901,2040,34
21,0,4901,,29
3,,,,6
1,,,,3
,,,,1
1,7400,,5620,37
18,0,,9920,19
12,0,,,16
22,51000,2100,1010,27
21,0,2407,,22
21,0,5506,,54
23,65000,5200,3160,29
22,130000,2408,1220,48
22,125000,1401,430,42
11,,,,14
4,,,,7
18,0,,,75
21,0,2304,,74
20,0,,,63
19,51000,,5360,59
21,0,2603,2860,67
23,9000,3301,2200,71
20,32000,,9130,47
13,0,,,16
20,12000,,220,56
20,0,,5160,52
20,30000,,4840,30
16,0,,4720,26
7,,,,10
2,,,,6
21,1500,3301,410,69
21,0,5200,4920,78
21,0,6001,,88
16,0,,,83
16,50000,,7700,63
16,30000,,5700,61
16,25600,,8810,29
19,0,,5400,41
18,1500,,4020,22
16,0,,,54
21,46000,2602,630,35
13,0,,9620,17
7,,,,10
3,,,,8
21,3800,6201,800,35
19,60000,,6200,43
1,,,,4
,,,,0
23,210000,6203,2100,48
21,0,2100,,44
4,,,,8
24,147000,5501,1800,49
21,0,6203,,49
16,1500,,4110,20
16,0,,,19
12,,,,14
19,56000,,3710,63
16,92000,,5700,60
21,0,5507,410,63
21,136000,1902,860,65
19,50000,,1920,53
16,0,,,49
21,25000,6203,7510,64
16,0,,,63
20,52000,,6200,44
21,60000,6005,735,39
21,14200,2414,430,40
21,114000,2408,110,35
7,,,,10
21,22500,2304,1220,58
21,20000,3600,3620,26
21,19000,5507,2540,26
18,35000,,5700,64
17,0,,,66
16,41000,,4510,31
16,39000,,4710,41
2,,,,5
1,0,,,88
20,8500,,800,77
20,3500,,5860,75
21,45000,6109,3220,40
21,45000,5200,2310,24
16,49800,,5860,59
21,7300,1904,50,31
22,34800,4007,3245,30
21,415000,5506,910,41
21,1100,3600,2720,40
11,0,,,15
10,,,,13
5,,,,8
2,,,,6
24,37000,3699,1650,31
18,20000,,310,62
12,0,,,62
16,20000,,7330,71
18,0,,5700,69
22,10100,6203,1220,55
16,9000,,340,28
7,,,,10
22,50000,2001,3930,26
19,0,,2630,28
19,0,,4600,52
19,102000,,100,55
21,0,3606,565,66
16,2000,,6050,30
19,70000,,9130,25
,,,,0
1,,,,5
19,0,,6420,47
17,3000,,800,42
16,30000,,5000,35
21,4200,3700,4610,73
21,61000,6107,4920,71
19,42900,,3600,34
10,,,,13
20,60000,,700,54
21,0,6201,4810,43
16,60000,,6440,46
16,32900,,5700,60
16,92000,,1010,59
21,85000,1901,5940,49
24,112000,3603,1650,53
24,87000,3600,3060,53
14,1000,,4600,16
16,4000,,8610,45
24,5000,5200,2200,38
6,,,,9
,,,,1
22,50000,3301,2310,38
21,66000,6209,710,27
21,68000,2901,650,26
,,,,0
18,2000,,4150,18
21,101000,1903,7000,37
21,72000,5506,150,38
21,75000,1903,4965,45
22,0,2306,,66
18,8400,,3930,31
23,100000,3301,2100,31
19,0,,9750,39
16,0,,,32
,,,,0
16,16800,,9130,27
1,,,,5
,,,,0
12,11900,,5620,20
8,0,,,29
16,82000,,5400,60
12,60000,,6260,63
16,890,,4620,18
21,82000,3600,3160,37
20,0,,5120,30
2,,,,6
17,46800,,8965,31
,,,,1
16,20900,,4350,33
16,20000,,4020,50
12,0,,,15
14,0,,,16
23,106000,5402,2100,30
23,185000,1501,2100,29
18,33000,,4720,33
16,560,,4720,18
11,0,,,15
8,,,,10
22,195000,6200,50,50
21,36000,4007,3850,38
4,,,,8
14,29000,,5620,58
16,36000,,6260,25
23,114000,3301,3060,50
20,68000,,3740,49
19,42300,,5620,42
16,0,,,82
16,0,,,90
19,38000,,1360,27
22,43000,2304,2310,28
21,0,6402,2850,64
18,0,,1050,24
15,21300,,5620,38
5,,,,8
16,8000,,7340,36
1,0,,,88
17,0,,,55
21,45000,3699,9120,63
9,0,,,56
20,5000,,5240,21
9,,,,11
9,,,,11
17,0,,4700,62
16,47000,,4700,66
21,46500,6207,5310,44
19,58000,,5550,48
18,67000,,7840,53
16,1000,,5700,51
21,4600,6206,4720,25
19,4000,,4650,21
14,980,,4060,17
21,0,4901,4620,38
8,0,,,79
14,0,,,78
16,60000,,3930,50
24,80000,3401,2200,54
22,0,3401,,55
12,0,,,15
16,0,,,41
12,20000,,310,64
16,17000,,3600,25
,,,,1
21,0,3301,,81
16,0,,,70
13,0,,,65
24,0,3606,,68
21,20000,6107,3255,68
16,50000,,7340,63
15,0,,,64
16,8000,,4230,36
16,19000,,4250,29
16,12000,,4720,22
22,172000,5301,430,59
21,0,2304,5240,60
21,25000,5501,4850,31
23,415000,2404,3060,45
23,415000,2414,3060,41
3,,,,6
,,,,2
23,0,6108,,30
16,0,,,27
,,,,0
21,0,3600,,76
16,34000,,8830,42
20,32000,,430,64
13,0,,,63
14,0,,,81
21,130000,2408,2145,32
21,0,2304,2310,32
2,,,,4
,,,,1
21,24000,5200,9620,48
21,20000,6402,5850,33
4,,,,8
1,,,,4
,,,,1
21,10000,5501,5850,36
21,12000,6000,6230,44
21,0,2304,,76
16,0,,,72
16,440,,5620,66
13,35000,,4760,46
22,78000,2408,7750,26
22,70000,2102,1020,28
24,148000,5007,1700,64
21,19000,3700,2200,60
16,13900,,4030,63
16,0,,3600,68
19,5000,,5110,44
21,150000,6203,4840,42
11,0,,,15
9,,,,13
22,110000,2400,1240,44
16,0,,,94
16,15000,,4110,60
20,75000,,4700,62
16,18200,,4220,54
21,60000,6203,5940,38
7,,,,10
14,55000,,9130,42
21,55000,6000,4000,46
19,0,,4920,63
21,130000,6206,4840,60
21,130000,6210,4720,28
19,76000,,7000,33
22,59000,3700,2310,31
21,0,2408,2850,74
20,100000,,530,49
18,51000,,6440,51
21,54000,6107,3255,23
22,27000,3603,1650,37
22,0,2408,,36
20,8000,,5240,68
22,59000,5200,3160,32
19,0,,7360,37
4,,,,7
2,,,,5
,,,,2
,,,,0
22,94000,2310,2330,53
19,103000,,1105,55
19,12000,,310,24
19,12000,,3645,19
19,0,,205,58
19,0,,205,49
13,21000,,5240,24
4,,,,6
16,17000,,5700,62
21,14800,6203,4850,67
16,43600,,5320,54
21,80000,5003,2850,67
23,0,3700,1020,69
16,40000,,7700,45
19,40000,,3500,36
12,0,,,94
21,101000,3401,1220,45
20,4000,,2430,23
21,58000,6109,3150,56
16,11000,,1530,49
21,36400,2414,1530,22
20,0,,9140,44
20,0,,,36
,,,,1
24,240000,3600,1650,57
21,122000,2407,1530,56
22,66000,2414,1020,25
21,5600,2300,2340,53
22,130000,2400,1020,56
16,0,,5550,57
16,0,,4230,46
16,6500,,4120,19
16,24500,,5400,49
1,7900,,9130,44
1,0,,9640,22
24,80000,5002,1760,48
22,82000,6402,430,37
16,15000,,4220,21
18,40000,,4220,44
10,0,,,84
21,60000,6201,2000,51
19,38000,,4600,29
3,,,,6
24,218000,2408,1700,53
21,2000,2407,1010,21
23,15500,4901,2310,36
21,15000,1901,5700,36
13,1500,,9620,17
10,,,,13
16,0,,6200,58
19,65000,,4030,37
19,45000,,4700,41
2,,,,4
,,,,0
19,92000,,5700,38
20,82000,,5000,41
1,,,,3
16,0,,,80
16,0,,,75
20,0,,5120,36
5,,,,9
18,119000,,1010,65
17,0,,4830,70
22,88000,3600,1965,50
16,3000,,4720,44
6,,,,9
3,,,,6
22,0,6002,5400,45
6,,,,9
21,100000,5501,430,40
16,48000,,1060,34
19,4400,,9830,24
21,46000,2402,1540,56
21,18300,5501,4020,29
21,16500,3301,5700,34
22,171000,5501,5165,40
21,0,3301,,40
9,,,,12
5,,,,8
16,0,,,28
16,6900,,5510,67
16,0,,,63
21,0,6107,1006,46
16,0,,,94
19,170000,,4700,43
19,60000,,4810,42
13,0,,,15
22,85000,2314,2320,59
21,2200,6200,5400,59
20,0,,,67
19,0,,,63
16,60000,,7100,36
19,0,,,18
23,415000,1902,2100,56
23,64000,5506,2100,60
21,120000,5301,430,37
21,50000,5501,1240,28
,,,,0
16,52000,,6320,47
16,40000,,5700,46
14,0,,,16
19,40000,,350,63
20,90000,,1430,60
19,49400,,5940,52
21,139000,6203,1220,67
20,0,,4950,65
21,0,6203,5810,32
19,125000,,630,57
22,0,2300,,80
21,30000,6203,5110,34
11,,,,14
7,,,,10
4,,,,7
16,50000,,7200,32
22,119000,6107,430,56
23,120000,3600,3060,64
13,0,,,15
22,60000,2314,2320,46
16,0,,6200,75
18,11000,,5860,66
10,0,,4220,54
9,14800,,6515,31
9,0,,6515,22
16,22000,,4220,31
20,50000,,2040,40
17,0,,,50
14,0,,,16
22,55000,6199,2200,47
16,48000,,8550,48
22,67000,6102,3230,43
16,0,,,81
23,415000,3606,3010,54
21,17000,6104,3310,48
21,8000,5506,4700,22
19,4000,,4110,21
18,4000,,4110,18
14,0,,7315,45
16,23000,,5620,41
22,0,3301,2000,51
22,100000,2408,1010,47
13,0,,,15
10,,,,12
11,0,,,68
12,0,,,67
16,0,,,72
16,0,,,72
24,115000,3600,565,40
24,175000,5003,710,40
3,,,,6
1,,,,4
20,40000,,3220,72
21,70000,3401,3255,71
16,0,,,63
18,10600,,2710,63
13,5800,,9130,66
19,35100,,9620,40
18,18900,,5160,21
12,,,,14
,,,,0
16,97000,,1020,51
21,60000,1903,800,32
10,,,,13
6,,,,9
3,,,,6
20,5000,,4600,39
17,35000,,8030,41
16,10000,,4720,20
21,25000,3301,8640,47
18,25000,,3500,43
19,2500,,5240,19
13,0,,,16
16,0,,,79
19,25000,,2540,52
19,69000,,7315,59
15,0,,,26
14,800,,4720,17
20,51000,,4700,42
12,,,,14
9,,,,11
3,,,,6
14,0,,,44
22,79000,2408,1360,37
21,38000,3702,1240,29
,,,,0
18,43000,,4700,34
5,,,,9
21,40000,6203,5240,27
21,20000,2304,2540,59
16,32000,,4510,40
16,0,,,22
19,600,,4720,19
19,0,,,19
19,5000,,5400,21
19,12000,,9820,19
20,23600,,2145,45
16,76000,,6320,51
8,,,,12
13,0,,,77
14,44000,,9130,55
16,80000,,910,52
17,3700,,9620,21
21,30000,6107,3255,31
4,,,,6
3,,,,5
19,0,,9920,47
19,0,,,75
16,1700,,5620,19
12,2700,,5620,16
13,3200,,9620,61
13,850,,9620,19
20,0,,,68
17,0,,,48
17,0,,,45
17,0,,,87
14,0,,,83
19,48000,,710,44
8,75000,,430,62
16,48000,,5140,30
16,60000,,5510,31
2,,,,6
20,0,,,68
1,0,,9620,49
16,0,,,18
16,0,,,50
16,0,,,78
16,0,,,78
16,55000,,9130,43
16,40000,,5160,48
13,0,,,16
22,156000,3609,1006,59
22,75000,6102,3230,58
13,0,,,74
15,0,,,68
16,0,,,64
16,0,,6220,46
21,90000,1902,20,38
22,0,5007,1530,40
6,,,,9
5,,,,7
14,23700,,5620,55
17,0,,6260,52
22,76000,5301,700,42
21,0,6205,2310,40
12,0,,,15
7,,,,11
4,,,,7
12,0,,,89
20,37600,,540,29
19,54000,,1550,29
21,0,1501,4920,52
19,0,,4965,54
11,,,,14
11,0,,,65
22,11500,5507,5940,29
18,41000,,5165,67
21,98000,2407,1020,41
22,0,6001,5860,36
6,,,,9
1,,,,3
1,,,,3
17,0,,,74
22,157000,5505,430,46
24,103000,5007,1710,46
,,,,2
21,80000,5501,10,52
19,80000,,630,53
11,0,,,15
20,0,,,87
11,0,,,87
23,0,6200,,79
21,0,6102,,76
21,48000,6203,420,47
16,0,,4010,26
1,,,,5
,,,,1
,,,,0
24,1900,2408,2200,29
15,13000,,6230,48
15,35000,,6230,20
16,21000,,4510,19
16,19000,,4250,18
16,33000,,9130,63
19,60000,,6355,46
19,0,,3645,34
16,0,,,67
1,29600,,4200,50
19,66000,,650,49
21,8100,6212,2310,46
19,8500,,4600,20
10,,,,14
9,,,,12
5,,,,8
19,6500,,1050,28
21,9000,5501,2430,26
16,0,,,63
19,0,,5540,71
16,69000,,220,52
17,35000,,8740,54
21,0,3401,1030,55
16,0,,4250,28
22,44000,4101,2310,30
19,150000,,6200,41
22,90000,2414,230,34
19,0,,4600,55
16,0,,,50
16,0,,,73
16,38000,,630,53
16,61000,,4750,54
19,23000,,540,23
16,0,,,94
22,0,2414,,81
16,0,,,77
19,0,,1006,49
21,0,1901,,46
10,,,,13
7,,,,10
19,0,,5240,68
18,48000,,5700,43
14,67000,,7200,53
12,0,,,15
17,10900,,3645,27
14,0,,,61
22,88000,1501,2860,29
19,50000,,2860,31
11,0,,,82
21,54000,2102,1020,24
12,18000,,4720,23
1,,,,4
1,,,,4
23,42000,1401,600,47
12,0,,,15
10,,,,13
8,,,,11
24,90000,2408,1010,48
24,180000,5003,3300,51
19,30000,,850,25
21,30000,1901,4110,28
19,2000,,9620,22
19,3000,,5120,21
,,,,2
19,70000,,7010,35
21,38000,1303,565,29
22,100000,6201,800,59
19,63000,,5700,61
21,25000,5200,540,57
13,0,,,16
18,55000,,8220,24
22,21000,4801,2200,27
22,80000,2102,2200,30
20,0,,4920,68
18,0,,,68
18,14300,,4820,42
6,,,,10
2,,,,4
21,70000,2408,6660,45
21,0,5506,2340,40
3,,,,6
2,,,,5
,,,,0
19,50000,,9000,48
21,26700,5200,3255,23
13,0,,,85
20,26000,,4220,57
19,17000,,4110,25
20,45300,,630,27
16,10000,,6100,34
15,30000,,4700,56
22,0,2300,,83
21,90000,6203,430,40
19,56000,,430,47
22,37000,3401,2000,60
18,0,,,66
10,0,,,84
20,25000,,6230,32
16,0,,,37
5,,,,10
1,,,,5
1,0,,,71
12,19000,,5610,44
14,0,,,36
16,28000,,3645,28
16,21000,,530,26
17,800,,6230,19
9,,,,13
6,,,,11
6,,,,10
4,,,,8
5,,,,5
21,11200,5200,5000,52
16,28600,,5700,49
19,16000,,4110,24
21,9300,1105,2200,22
2,,,,4
21,0,6402,,75
16,0,,4720,32
16,0,,4030,24
,,,,1
21,48000,6107,3255,60
16,0,,,85
19,120000,,430,35
19,130000,,430,39
4,,,,7
1,,,,5
1,,,,3
23,93000,2405,5000,44
24,120000,3700,1760,44
7,,,,10
4,,,,7
19,0,,,69
23,104000,5503,2100,46
22,116000,3701,1240,44
21,53000,5501,800,24
12,27400,,9830,19
16,0,,,79
16,0,,,76
15,0,,,79
16,0,,,69
18,66000,,800,60
21,91000,6402,2850,61
16,0,,,94
16,85000,,9200,46
19,0,,4600,43
5,,,,9
1,,,,3
22,0,2304,2310,74
22,70000,5098,1650,45
21,0,2102,,41
8,,,,11
7,,,,10
3,,,,6
22,0,6107,,81
13,0,,,83
20,0,,,68
21,90000,3301,2750,28
15,60000,,5000,42
15,0,,9620,21
16,88000,,3730,39
21,0,2304,230,37
9,,,,12
5,,,,8
21,140000,3401,710,57
18,0,,,50
16,0,,,17
22,0,2304,2330,60
21,5000,5007,1020,63
21,89000,2408,110,35
19,0,,4020,23
2,,,,4
,,,,1
21,47000,5500,1220,26
21,31500,5200,3600,23
21,45000,6107,3255,24
16,0,,9620,67
16,0,,9640,68
16,0,,,44
14,14000,,8965,50
14,13000,,6040,42
19,13000,,7810,21
18,112000,,3850,54
21,119000,3600,1105,37
22,57000,1901,2550,39
10,,,,13
5,,,,9
21,0,6107,,82
21,0,6203,800,56
16,6300,,9130,54
14,0,,5260,17
8,0,,,54
6,0,,,94
18,65000,,230,55
21,65000,6201,230,61
20,65000,,5700,32
9,,,,13
16,80000,,6355,45
16,0,,4600,39
18,88000,,8965,52
16,9000,,5820,49
16,36000,,9640,22
19,29300,,2540,38
14,1200,,9620,17
14,1400,,9620,17
9,,,,11
20,55000,,5000,46
22,0,2310,2330,57
24,65000,5200,1820,60
16,6000,,4030,29
16,0,,9920,24
18,2400,,5630,70
16,9000,,4000,35
16,0,,,66
16,0,,,74
16,23700,,5510,27
19,100000,,5700,56
16,37000,,310,62
13,36000,,4220,63
1,23000,,4220,65
10,0,,,54
17,0,,,30
9,0,,,83
13,0,,,70
16,0,,,52
19,0,,,44
14,0,,9620,50
10,27000,,4250,28
9,0,,,26
6,,,,7
,,,,2
21,0,6002,4700,56
22,0,2407,,58
22,0,2102,,55
21,20000,5003,800,29
22,15000,4801,2630,27
22,25000,5505,4340,44
21,103000,2406,1360,44
20,0,,,71
19,0,,,59
16,60000,,9130,36
17,0,,,51
22,55000,2102,430,38
16,0,,5120,68
17,0,,,70
19,40000,,3800,25
19,44100,,5860,25
,,,,2
,,,,0
22,70000,5501,1006,65
22,55000,2307,2310,61
21,0,2001,,68
21,0,2300,,68
21,2000,5501,820,40
12,30000,,4720,28
1,,,,4
16,37800,,4760,29
1,,,,4
18,0,,9920,68
21,0,2408,,79
16,0,,,70
19,80000,,4710,48
14,7000,,4720,30
19,3000,,9620,28
21,25000,5507,4020,25
21,25000,2504,4020,25
19,80000,,20,25
12,3600,,4130,21
22,170000,5501,1220,46
22,5000,4001,5320,46
9,,,,12
5,,,,9
16,1700,,5400,18
12,30000,,160,26
16,0,,6355,26
15,0,,,25
21,10400,5501,5520,23
19,0,,,61
4,,,,6
1,,,,4
,,,,2
,,,,1
21,65000,2306,630,53
22,136000,2408,1320,54
20,52000,,220,54
16,38900,,4750,55
17,20000,,9640,25
18,55000,,5620,55
16,28000,,7750,52
16,0,,,22
16,0,,,18
20,40000,,430,31
16,23000,,9130,32
22,21000,5507,3150,49
24,48000,5506,2200,48
16,0,,,56
18,1100,,5310,71
16,0,,,70
22,67000,6199,2310,50
22,0,4801,,81
19,0,,,76
21,90000,5506,1220,35
21,101000,2408,7430,34
19,78000,,430,59
18,0,,410,78
21,30000,2306,3245,39
18,21000,,9830,27
1,,,,5
24,145000,2102,2200,48
23,0,5506,420,45
16,0,,,48
21,103000,6203,820,57
21,20000,6201,3850,41
8,,,,12
16,4200,,5360,37
16,55000,,7220,44
16,600,,4720,17
7,,,,10
5,,,,8
22,186000,3700,110,71
21,135000,3202,150,63
22,0,5200,,54
18,300,,4760,40
16,60000,,7700,36
12,,,,14
9,,,,11
6,,,,9
17,51000,,5700,48
15,50000,,9130,52
16,0,,,23
19,0,,1965,20
21,60000,6207,820,53
21,90000,6102,3255,52
21,46000,5301,3850,24
16,20000,,4760,29
21,19500,2602,5700,68
14,10400,,4210,45
16,42000,,540,41
8,,,,11
1,,,,5
17,0,,,25
16,3500,,4430,62
21,43600,5507,800,60
18,0,,,87
19,11000,,4610,24
1,0,,6200,29
,,,,0
16,0,,,82
16,0,,4700,56
18,0,,,94
21,28000,6205,3955,61
19,34500,,3730,50
16,20800,,3930,41
16,30000,,7750,45
16,3300,,3930,30
5,,,,10
4,,,,7
18,0,,,32
23,50000,5506,2100,40
23,180000,5506,2100,40
6,,,,9
3,,,,6
,,,,2
21,81000,6201,710,43
18,20000,,7330,42
20,60000,,3255,57
21,0,3600,,73
21,64000,3606,1610,49
16,36000,,7200,30
21,89000,6201,1007,39
21,2400,6200,5700,40
6,,,,8
3,,,,5
21,0,3301,,34
12,60000,,5520,44
14,1600,,4720,17
7,,,,10
12,19300,,4110,47
14,35000,,3600,33
16,0,,4110,37
5,,,,10
4,,,,8
1,,,,5
1,,,,3
11,0,,,15
20,60000,,4965,32
20,50000,,3320,33
21,54000,5504,1310,35
19,500,,740,31
8,,,,11
5,,,,9
4,,,,8
2,,,,4
10,0,,,63
10,0,,,65
14,0,,,49
20,42000,,7340,46
16,12000,,5860,23
12,0,,,74
17,18000,,4760,24
4,,,,7
18,10000,,4110,25
18,0,,,21
21,46000,1903,5700,27
16,36000,,9810,30
2,,,,4
1,45000,,4120,38
19,30000,,4040,33
21,55000,6201,4020,50
16,20000,,4040,31
16,0,,136,57
16,0,,1050,69
20,35000,,630,29
16,80000,,9510,28
19,450,,2060,25
1,,,,3
,,,,2
16,30000,,9600,43
19,0,,4510,43
16,4000,,4760,21
16,500,,4760,19
19,4600,,4720,25
15,25000,,3600,58
16,0,,,67
16,80000,,430,39
14,0,,9920,17
7,,,,10
23,0,5506,2100,58
23,0,5507,2100,59
19,16700,,9120,73
19,10600,,4850,69
16,35500,,9130,38
21,0,6109,430,35
3,,,,6
1,,,,3
22,0,4901,,73
24,0,5506,430,73
22,0,2311,2310,68
22,0,5506,,73
21,40000,1902,2810,54
22,40000,2304,2310,30
21,0,6206,,45
21,120000,5506,120,49
9,,,,13
8,,,,11
16,2000,,9830,19
22,75000,6402,220,28
16,5000,,7200,40
18,0,,,70
22,59000,2310,2310,31
3,,,,6
2,,,,4
,,,,2
19,0,,,81
16,0,,,77
21,30000,2602,726,47
7,,,,10
14,0,,,64
15,0,,4700,30
20,50000,,230,65
16,0,,4600,44
14,31700,,9130,47
11,,,,14
19,0,,5240,58
11,0,,,78
21,0,2408,,73
20,0,,4600,71
20,0,,,78
16,54000,,5330,53
21,127000,2100,1400,53
17,25100,,5860,61
19,0,,2540,66
18,40000,,9130,29
22,82000,2314,2310,64
22,79000,2309,2310,63
17,0,,,87
17,0,,6440,34
24,30000,3600,1650,43
22,0,1104,,39
8,,,,11
19,13500,,5860,23
4,,,,6
2,,,,5
,,,,2
2,,,,4
16,2000,,3500,48
19,11400,,630,56
24,205000,5401,1800,39
23,0,2300,9920,40
8,,,,11
2,,,,5
16,0,,,76
20,35000,,3930,59
22,84000,1501,1020,31
1,,,,4
19,15000,,5410,19
19,102000,,3740,44
19,32000,,4510,36
23,125000,5506,2100,28
23,0,3600,3648,26
16,57000,,565,46
16,73000,,220,49
11,0,,,15
10,,,,13
8,,,,11
22,0,6000,5700,67
23,16800,3301,2100,72
20,60000,,4465,59
19,29000,,5700,56
22,51000,5502,420,31
18,48000,,3800,33
16,0,,6260,22
21,120000,2602,1006,40
20,32100,,9810,38
16,0,,9620,17
3,,,,6
17,0,,9750,23
21,110000,6203,410,25
21,65000,6000,1460,27
18,0,,5120,67
19,0,,,83
21,90000,6200,3730,63
20,13000,,4760,67
21,0,3600,5510,63
7,,,,9
14,0,,,69
14,0,,,66
20,15000,,2825,34
18,55000,,1060,35
4,,,,7
16,29500,,4020,72
16,0,,,77
21,0,5501,850,62
18,115000,,5860,57
21,75000,2300,4710,53
22,58000,6207,410,49
14,200,,4350,17
13,0,,,16
20,35000,,800,47
19,75000,,20,52
12,0,,,15
6,,,,10
18,0,,,65
18,0,,430,63
21,55000,3302,4700,29
22,7200,2304,2310,69
17,34000,,430,51
16,32000,,7210,23
22,86000,3301,2010,62
21,42700,6002,9120,30
16,0,,,67
22,25000,2314,7430,57
22,4000,6002,2200,65
18,0,,2540,62
18,80000,,6260,60
18,4300,,4760,22
12,0,,,81
21,100000,2102,136,46
22,95000,5200,2630,50
9,,,,12
6,,,,9
19,0,,,77
21,5000,6402,9130,32
19,0,,9130,27
15,0,,,52
13,0,,,74
21,77000,5003,1760,44
21,95000,3301,2840,53
21,0,2309,,70
18,27000,,3600,23
22,52000,2300,2200,60
19,0,,430,52
16,0,,9130,75
16,7000,,5400,62
13,0,,,84
16,0,,4220,52
17,35000,,3850,71
16,20000,,3400,42
19,2000,,3600,21
,,,,1
19,0,,,86
19,19900,,2000,29
3,,,,7
19,7300,,4720,37
22,215000,2408,1530,50
22,0,2310,,49
8,,,,11
19,18000,,7630,51
11,40000,,6230,68
10,0,,9640,66
21,44000,6004,2630,27
19,120,,3930,20
19,2000,,4950,20
17,50000,,6440,56
19,5200,,5120,51
15,0,,,76
22,96000,5200,1020,46
9,31000,,4220,53
18,10000,,4120,19
14,0,,,16
22,55000,2300,2310,47
19,58000,,430,66
19,27000,,5700,64
21,65000,6107,3255,60
16,0,,,94
18,71000,,6200,63
19,19500,,5620,66
19,0,,9130,33
21,0,2308,,82
16,0,,,84
21,0,6206,,78
19,0,,,68
21,0,2414,,82
16,0,,,78
18,0,,,73
16,0,,,62
24,84000,5200,1820,57
21,57000,2300,2310,54
16,66000,,3500,29
19,27000,,6420,28
1,,,,3
15,62000,,3930,62
21,45000,6107,3255,59
16,136000,,110,47
16,21500,,3640,57
11,0,,,83
22,0,3700,1005,63
16,0,,8760,57
20,22000,,4700,23
16,65000,,5000,63
16,0,,5700,40
16,500,,4020,17
22,0,2504,,76
22,32800,6201,6440,54
22,6000,3700,4700,53
16,51000,,5310,55
22,82000,2306,2310,52
22,69000,2399,2320,52
21,2000,4101,4210,22
24,86000,5501,1800,59
21,0,2602,,57
17,0,,,29
17,0,,,79
13,0,,,73
16,57000,,430,39
16,0,,4230,38
19,6600,,4510,18
12,0,,,15
10,,,,13
8,,,,11
13,0,,,28
19,0,,4920,48
16,24000,,6200,38
21,0,6203,120,62
21,75000,2399,2320,52
16,0,,,74
18,0,,,27
16,0,,860,43
16,38000,,9130,45
7,,,,9
22,0,1901,800,43
21,40000,1901,4710,45
24,109000,5007,1760,46
24,71000,5007,1650,42
21,42000,3301,1050,27
20,0,,7000,63
17,6000,,4130,60
16,24500,,5700,59
16,60000,,9130,58
22,128000,2408,5000,46
19,32000,,5120,39
21,66000,6201,800,39
2,,,,5
1,,,,4
19,41000,,5310,33
18,0,,,78
16,0,,,75
18,10300,,4700,53
20,103000,,5000,52
18,5900,,5400,19
13,0,,,16
20,48000,,4750,55
16,0,,,82
16,60000,,6320,43
16,0,,,54
21,60000,6203,3930,54
22,145000,5301,5120,45
19,0,,,19
11,,,,14
